Star Name,Scientific Name,Distance (light years),Apparent Magnitude,Absolute Magnitude,Spectral Type
Sun,,-,-26.72,4.8,42
Proxima Centauri,V645 Cen,4.2,11.05 (var.),15.5,65.5
Rigil Kentaurus,Alpha Cen A,4.3,-0.01,4.4,42
Alpha Cen B,Alpha Cen B,4.3,1.33,5.7,41
Barnard's Star,,6,9.54,13.2,63.8
Wolf 359,CN Leo,7.7,13.53 (var.),16.7,65.8
BD +36 2146,BD +36 2147,8.2,7.5,10.5,62.1
Luyten 726-8A,UV Cet A,8.4,12.52 (var.),15.5,65.6
Luyten 726-8B,UV Cet B,8.4,13.02 (var.),16,65.6
Sirius A,Alpha CMa A,8.6,-1.46,1.4,21
Ross 154,,9.4,10.45,13.1,63.6
Ross 248,,10.4,12.29,14.8,64.9
Epsilon Eri,Epsilon Eri,10.8,3.73,6.1,52
Ross 128,,10.9,11.1,13.5,64.1
60 Cyg A (V1803 Cyg),61 Cyg A (V1803 Cyg),11.1,5.2 (var.),7.6,53.5
60 Cyg B,61 Cyg B,11.1,6.03,8.4,54.7
Epsilon Ind,Epsilon Ind,11.2,4.68,7,53
BD +43 44 A,BD +43 44 A,11.2,8.08,10.4,61.3
BD +43 44 B,BD +43 44 B,11.2,11.06,13.4,63.8
Procyon A,Alpha CMi A,11.4,0.38,2.6,35
BD +59 1915 A,BD +59 1915 A,11.6,8.9,11.2,63
BD +59 1915 B,BD +59 1915 B,11.6,9.69,11.9,63.5
CoD -36 15692,CoD -36 15693,11.7,7.35,9.6,61.3